ts;t;cX;cS;cE;cGly;cP
03.12.2020 09:51;0;NA;NA;NA;NA;NA
03.12.2020 10:01;0.166666667;1.45;1.764891353;0;0;0.898315277
03.12.2020 10:18;0.45;2;2.22258851;0;0;1.04842184
03.12.2020 10:36;0.75;2.65;2.480838535;NA;0;1.048068173
03.12.2020 10:59;1.133333333;2.25;2.730312009;0.67546056;0.409106121;1.08722421
03.12.2020 11:18;1.45;2.1;2.758689526;0.663500524;0.2175831;1.032355234
03.12.2020 11:40;1.816666667;2.3;1.754213215;1.025912992;0.418762952;0.776653681
03.12.2020 11:52;2.016666667;2.5;2.086807945;1.343490482;0.317348904;0.894677555
03.12.2020 12:23;2.533333333;2.85;1.368922608;2.084302549;0.735176365;0.827682839
03.12.2020 12:41;2.833333333;2.9;0.984070828;2.400321163;0.606484616;0.832280515
03.12.2020 12:58;3.116666667;3.3;0.550399481;2.859236658;0.616037504;0.90144776
03.12.2020 13:25;3.566666667;3.75;0.212944736;2.915962389;0.758786351;0.810151039
03.12.2020 13:40;3.816666667;4.5;0;3.22920967;0.512589136;0.804290264
03.12.2020 13:58;4.116666667;4.05;0;3.410732009;0.664791878;0.875680562
03.12.2020 14:27;4.6;4.8;0.095430369;3.451955594;0.523577432;0.787011084
03.12.2020 14:58;5.116666667;5.15;0;3.622998829;0.608711973;0.754322108
03.12.2020 15:36;5.75;6.05;0;3.702501457;0.70483481;0.725321379
03.12.2020 15:52;6.016666667;6.3;0;3.556573431;0.710229965;0.764679512
04.12.2020 08:42;22.85;27.8;0;0;0;0
04.12.2020 09:19;23.46666667;28.7;0;0;0;0
04.12.2020 09:59;24.13333333;29.66666667;0;0;0;0
04.12.2020 10:48;24.95;28.9;0;0;0;0
